Loan_ID,loan_status
xqd20166231,PAIDOFF
xqd20168902,PAIDOFF
xqd20160003,PAIDOFF
xqd20160004,PAIDOFF
xqd20160005,PAIDOFF
xqd20160706,PAIDOFF
xqd20160007,PAIDOFF
xqd20160008,PAIDOFF
xqd20160909,PAIDOFF
xqd20160010,PAIDOFF
xqd20160011,PAIDOFF
xqd20160012,PAIDOFF
xqd20160013,PAIDOFF
xqd20160014,PAIDOFF
xqd20160015,PAIDOFF
xqd20160016,PAIDOFF
xqd20160017,PAIDOFF
xqd20160018,PAIDOFF
xqd20160019,PAIDOFF
xqd20160020,PAIDOFF
xqd20160021,PAIDOFF
xqd20160022,PAIDOFF
xqd20160023,PAIDOFF
xqd20160024,PAIDOFF
xqd20160025,PAIDOFF
xqd20160026,PAIDOFF
xqd20160027,PAIDOFF
xqd20170088,PAIDOFF
xqd20160029,PAIDOFF
xqd20160030,PAIDOFF
xqd88160031,PAIDOFF
xqd20160032,PAIDOFF
xqd20160033,PAIDOFF
xqd22169034,PAIDOFF
xqd20160035,PAIDOFF
xqd20160036,PAIDOFF
xqd20160037,PAIDOFF
xqd20160038,PAIDOFF
xqd20160039,PAIDOFF
xqd20160040,PAIDOFF
xqd20160041,PAIDOFF
xqd20160042,PAIDOFF
xqd20160043,PAIDOFF
xqd20160044,PAIDOFF
xqd20160045,PAIDOFF
xqd20160046,PAIDOFF
xqd20160047,PAIDOFF
xqd20160048,PAIDOFF
xqd20160049,PAIDOFF
xqd20160050,PAIDOFF
xqd20160051,PAIDOFF
xqd20160052,PAIDOFF
xqd20160053,PAIDOFF
xqd20160054,PAIDOFF
xqd20160055,PAIDOFF
xqd20160056,PAIDOFF
xqd20160057,PAIDOFF
xqd20160058,PAIDOFF
xqd20160059,PAIDOFF
xqd20160060,PAIDOFF
xqd20160061,PAIDOFF
xqd20160062,PAIDOFF
xqd20160063,PAIDOFF
xqd20160064,PAIDOFF
xqd20160065,PAIDOFF
xqd20160066,PAIDOFF
xqd20160067,PAIDOFF
xqd20160068,PAIDOFF
xqd20160069,PAIDOFF
xqd20160070,PAIDOFF
xqd20160071,PAIDOFF
xqd20160072,PAIDOFF
xqd20160073,PAIDOFF
xqd20160074,PAIDOFF
xqd20160075,PAIDOFF
xqd20160076,PAIDOFF
xqd20160077,PAIDOFF
xqd20160078,PAIDOFF
xqd20160079,PAIDOFF
xqd20160080,PAIDOFF
xqd20160081,PAIDOFF
xqd20160082,PAIDOFF
xqd20160083,PAIDOFF
xqd20160084,PAIDOFF
xqd20160085,PAIDOFF
xqd20160086,PAIDOFF
xqd20160087,PAIDOFF
xqd20160088,PAIDOFF
xqd20160089,PAIDOFF
xqd90160090,PAIDOFF
xqd91160291,PAIDOFF
xqd90160092,PAIDOFF
xqd90163093,PAIDOFF
xqd20160094,PAIDOFF
xqd20167095,PAIDOFF
xqd20160096,PAIDOFF
xqd20160097,PAIDOFF
xqd20160098,PAIDOFF
xqd20160099,PAIDOFF
xqd20160100,PAIDOFF
xqd20160101,PAIDOFF
xqd20160102,PAIDOFF
xqd20160103,PAIDOFF
xqd20160104,PAIDOFF
xqd20160105,PAIDOFF
xqd20160106,PAIDOFF
xqd20160107,PAIDOFF
xqd20160108,PAIDOFF
xqd20160109,PAIDOFF
xqd20160110,PAIDOFF
xqd20160111,PAIDOFF
xqd20160112,PAIDOFF
xqd20160113,PAIDOFF
xqd20160114,PAIDOFF
xqd20160115,PAIDOFF
xqd20160116,PAIDOFF
xqd20160117,PAIDOFF
xqd20160118,PAIDOFF
xqd20160119,PAIDOFF
xqd20160120,PAIDOFF
xqd20160121,PAIDOFF
xqd20160122,PAIDOFF
xqd20160123,PAIDOFF
xqd20160124,PAIDOFF
xqd20160125,PAIDOFF
xqd20160126,PAIDOFF
xqd20160127,PAIDOFF
xqd20160128,PAIDOFF
xqd78160129,PAIDOFF
xqd20160130,PAIDOFF
xqd20160131,PAIDOFF
xqd20160132,PAIDOFF
xqd20160133,PAIDOFF
xqd20160134,PAIDOFF
xqd20160135,PAIDOFF
xqd20160136,PAIDOFF
xqd20160137,PAIDOFF
xqd20160138,PAIDOFF
xqd20160139,PAIDOFF
xqd56160140,PAIDOFF
xqd20160141,PAIDOFF
xqd20160142,PAIDOFF
xqd20160143,PAIDOFF
xqd20160144,PAIDOFF
xqd20160145,PAIDOFF
xqd20160146,PAIDOFF
xqd20160147,PAIDOFF
xqd20160148,PAIDOFF
xqd20160149,PAIDOFF
xqd20160150,PAIDOFF
xqd20160151,PAIDOFF
xqd34160152,PAIDOFF
xqd20160153,PAIDOFF
xqd20160154,PAIDOFF
xqd20160155,PAIDOFF
xqd20160156,PAIDOFF
xqd20160157,PAIDOFF
xqd20160158,PAIDOFF
xqd12160159,PAIDOFF
xqd20160160,PAIDOFF
xqd20160161,PAIDOFF
xqd20160162,PAIDOFF
xqd20160163,PAIDOFF
xqd28160164,PAIDOFF
xqd20160165,PAIDOFF
xqd20160166,PAIDOFF
xqd20160167,PAIDOFF
xqd20160168,PAIDOFF
xqd20160169,PAIDOFF
xqd27160170,PAIDOFF
xqd20160171,PAIDOFF
xqd20160172,PAIDOFF
xqd20160173,PAIDOFF
xqd20160174,PAIDOFF
xqd20160175,PAIDOFF
xqd20160176,PAIDOFF
xqd20160177,PAIDOFF
xqd20160178,PAIDOFF
xqd20160179,PAIDOFF
xqd20160180,PAIDOFF
xqd20160181,PAIDOFF
xqd20160182,PAIDOFF
xqd20160183,PAIDOFF
xqd20160184,PAIDOFF
xqd20160185,PAIDOFF
xqd20160186,PAIDOFF
xqd20160187,PAIDOFF
xqd20160188,PAIDOFF
xqd20160189,PAIDOFF
xqd20160190,PAIDOFF
xqd20160191,PAIDOFF
xqd20160192,PAIDOFF
xqd20160193,PAIDOFF
xqd20160194,PAIDOFF
xqd20160195,PAIDOFF
xqd20160196,PAIDOFF
xqd20160197,PAIDOFF
xqd20160198,PAIDOFF
xqd20160199,PAIDOFF
xqd20160200,PAIDOFF
xqd20160201,PAIDOFF
xqd20160202,PAIDOFF
xqd20160203,PAIDOFF
xqd20160204,PAIDOFF
xqd20160205,PAIDOFF
xqd20160206,PAIDOFF
xqd20160207,PAIDOFF
xqd20160208,PAIDOFF
xqd20160209,PAIDOFF
xqd20160210,PAIDOFF
xqd20160211,PAIDOFF
xqd20160212,PAIDOFF
xqd20160213,PAIDOFF
xqd20160214,PAIDOFF
xqd20160215,PAIDOFF
xqd20160216,PAIDOFF
xqd20160217,PAIDOFF
xqd20160218,PAIDOFF
xqd20160219,PAIDOFF
xqd20160220,PAIDOFF
xqd20160221,PAIDOFF
xqd20160222,PAIDOFF
xqd20160223,PAIDOFF
xqd20160224,PAIDOFF
xqd20160225,PAIDOFF
xqd20160226,PAIDOFF
xqd20160227,PAIDOFF
xqd20160228,PAIDOFF
xqd20160229,PAIDOFF
xqd20160230,PAIDOFF
xqd20160231,PAIDOFF
xqd20160232,PAIDOFF
xqd20160233,PAIDOFF
xqd20160234,PAIDOFF
xqd20160235,PAIDOFF
xqd20160236,PAIDOFF
xqd20160237,PAIDOFF
xqd20160238,PAIDOFF
xqd20160239,PAIDOFF
xqd20160240,PAIDOFF
xqd20160241,PAIDOFF
xqd20160242,PAIDOFF
xqd20160243,PAIDOFF
xqd20160244,PAIDOFF
xqd20160245,PAIDOFF
xqd20160246,PAIDOFF
xqd20160247,PAIDOFF
xqd20160248,PAIDOFF
xqd20160249,PAIDOFF
xqd20160250,PAIDOFF
xqd20160251,PAIDOFF
xqd20160252,PAIDOFF
xqd20160253,PAIDOFF
xqd20160254,PAIDOFF
xqd20160255,PAIDOFF
xqd20160256,PAIDOFF
xqd20160257,PAIDOFF
xqd20160258,PAIDOFF
xqd20160259,PAIDOFF
xqd20160260,PAIDOFF
xqd20160261,PAIDOFF
xqd20160262,PAIDOFF
xqd20160263,PAIDOFF
xqd20160264,PAIDOFF
xqd20160265,PAIDOFF
xqd20160266,PAIDOFF
xqd20160267,PAIDOFF
xqd20160268,PAIDOFF
xqd20160269,PAIDOFF
xqd20160270,PAIDOFF
xqd20160271,PAIDOFF
xqd20160272,PAIDOFF
xqd20160273,PAIDOFF
xqd20160274,PAIDOFF
xqd20160275,PAIDOFF
xqd20160276,PAIDOFF
xqd20160277,PAIDOFF
xqd20160278,PAIDOFF
xqd20160279,PAIDOFF
xqd20160280,PAIDOFF
xqd20160281,PAIDOFF
xqd20160282,PAIDOFF
xqd20160283,PAIDOFF
xqd20160284,PAIDOFF
xqd20160285,PAIDOFF
xqd20160286,PAIDOFF
xqd20160287,PAIDOFF
xqd20160288,PAIDOFF
xqd20160289,PAIDOFF
xqd20160290,PAIDOFF
xqd20160291,PAIDOFF
xqd20160292,PAIDOFF
xqd20160293,PAIDOFF
xqd20160294,PAIDOFF
xqd20160295,PAIDOFF
xqd20160296,PAIDOFF
xqd20160297,PAIDOFF
xqd20160298,PAIDOFF
xqd20160299,PAIDOFF
xqd20160300,PAIDOFF
xqd20160301,DEFAULT
xqd20160302,DEFAULT
xqd20160303,DEFAULT
xqd20160304,DEFAULT
xqd20160305,DEFAULT
xqd20160306,DEFAULT
xqd20160307,DEFAULT
xqd20160308,DEFAULT
xqd20160309,DEFAULT
xqd20160310,DEFAULT
xqd20160311,DEFAULT
xqd20160312,DEFAULT
xqd20160313,DEFAULT
xqd20160314,DEFAULT
xqd20160315,DEFAULT
xqd20160316,DEFAULT
xqd20160317,DEFAULT
xqd20160318,DEFAULT
xqd20160319,DEFAULT
xqd20160320,DEFAULT
xqd20160321,DEFAULT
xqd20160322,DEFAULT
xqd20160323,DEFAULT
xqd20160324,DEFAULT
xqd20160325,DEFAULT
xqd20160326,DEFAULT
xqd20160327,DEFAULT
xqd20160328,DEFAULT
xqd20160329,DEFAULT
xqd20160330,DEFAULT
xqd20160331,DEFAULT
xqd20160332,DEFAULT
xqd20160333,DEFAULT
xqd20160334,DEFAULT
xqd20160335,DEFAULT
xqd20160336,DEFAULT
xqd20160337,DEFAULT
xqd20160338,DEFAULT
xqd20160339,DEFAULT
xqd20160340,DEFAULT
xqd20160341,DEFAULT
xqd20160342,DEFAULT
xqd20160343,DEFAULT
xqd20160344,DEFAULT
xqd20160345,DEFAULT
xqd20160346,DEFAULT
xqd20160347,DEFAULT
xqd20160348,DEFAULT
xqd20160349,DEFAULT
xqd20160350,DEFAULT
xqd20160351,DEFAULT
xqd20160352,DEFAULT
xqd20160353,DEFAULT
xqd20160354,DEFAULT
xqd20160355,DEFAULT
xqd20160356,DEFAULT
xqd20160357,DEFAULT
xqd20160358,DEFAULT
xqd20160359,DEFAULT
xqd20160360,DEFAULT
xqd20160361,DEFAULT
xqd20160362,DEFAULT
xqd20160363,DEFAULT
xqd20160364,DEFAULT
xqd20160365,DEFAULT
xqd20160366,DEFAULT
xqd20160367,DEFAULT
xqd20160368,DEFAULT
xqd20160369,DEFAULT
xqd20160370,DEFAULT
xqd20160371,DEFAULT
xqd20160372,DEFAULT
xqd20160373,DEFAULT
xqd20160374,DEFAULT
xqd20182575,DEFAULT
xqd20160376,DEFAULT
xqd20151038,DEFAULT
xqd20160378,DEFAULT
xqd20197340,DEFAULT
xqd20160380,DEFAULT
xqd20160381,DEFAULT
xqd20160382,DEFAULT
xqd20175721,DEFAULT
xqd20160384,DEFAULT
xqd20160385,DEFAULT
xqd20160386,DEFAULT
xqd20160387,DEFAULT
xqd20160388,DEFAULT
xqd20160389,DEFAULT
xqd20160390,DEFAULT
xqd20160391,DEFAULT
xqd20125284,DEFAULT
xqd20160393,DEFAULT
xqd20160394,DEFAULT
xqd20160395,DEFAULT
xqd20160396,DEFAULT
xqd20160397,DEFAULT
xqd20160398,DEFAULT
xqd20160399,DEFAULT
xqd20160400,DEFAULT
xqd20160401,COLLECTION_PAIDOFF
xqd20160402,COLLECTION_PAIDOFF
xqd20320403,COLLECTION_PAIDOFF
xqd20160404,COLLECTION_PAIDOFF
xqd20190405,COLLECTION_PAIDOFF
xqd20160406,COLLECTION_PAIDOFF
xqd20160407,COLLECTION_PAIDOFF
xqd20160408,COLLECTION_PAIDOFF
xqd20110409,COLLECTION_PAIDOFF
xqd20160410,COLLECTION_PAIDOFF
xqd20160411,COLLECTION_PAIDOFF
xqd20160412,COLLECTION_PAIDOFF
xqd20160413,COLLECTION_PAIDOFF
xqd20169083,COLLECTION_PAIDOFF
xqd20160415,COLLECTION_PAIDOFF
xqd20160416,COLLECTION_PAIDOFF
xqd20160417,COLLECTION_PAIDOFF
xqd20160418,COLLECTION_PAIDOFF
xqd20160419,COLLECTION_PAIDOFF
xqd20160420,COLLECTION_PAIDOFF
xqd20160421,COLLECTION_PAIDOFF
xqd20160422,COLLECTION_PAIDOFF
xqd20160423,COLLECTION_PAIDOFF
xqd20160424,COLLECTION_PAIDOFF
xqd20880425,COLLECTION_PAIDOFF
xqd20160426,COLLECTION_PAIDOFF
xqd20160427,COLLECTION_PAIDOFF
xqd20160428,COLLECTION_PAIDOFF
xqd20160429,COLLECTION_PAIDOFF
xqd20160430,COLLECTION_PAIDOFF
xqd20160431,COLLECTION_PAIDOFF
xqd20160432,COLLECTION_PAIDOFF
xqd20160433,COLLECTION_PAIDOFF
xqd20160434,COLLECTION_PAIDOFF
xqd20160435,COLLECTION_PAIDOFF
xqd20160436,COLLECTION_PAIDOFF
xqd20790437,COLLECTION_PAIDOFF
xqd20160438,COLLECTION_PAIDOFF
xqd20160439,COLLECTION_PAIDOFF
xqd20160440,COLLECTION_PAIDOFF
xqd20160441,COLLECTION_PAIDOFF
xqd20160442,COLLECTION_PAIDOFF
xqd20160443,COLLECTION_PAIDOFF
xqd20160444,COLLECTION_PAIDOFF
xqd20160445,COLLECTION_PAIDOFF
xqd20160446,COLLECTION_PAIDOFF
xqd20420447,COLLECTION_PAIDOFF
xqd20160448,COLLECTION_PAIDOFF
xqd20160449,COLLECTION_PAIDOFF
xqd20160450,COLLECTION_PAIDOFF
xqd20160451,COLLECTION_PAIDOFF
xqd20160452,COLLECTION_PAIDOFF
xqd20390453,COLLECTION_PAIDOFF
xqd20160454,COLLECTION_PAIDOFF
xqd20160455,COLLECTION_PAIDOFF
xqd20160456,COLLECTION_PAIDOFF
xqd20160457,COLLECTION_PAIDOFF
xqd20160458,COLLECTION_PAIDOFF
xqd20160459,COLLECTION_PAIDOFF
xqd20160460,COLLECTION_PAIDOFF
xqd20490461,COLLECTION_PAIDOFF
xqd20160462,COLLECTION_PAIDOFF
xqd20160463,COLLECTION_PAIDOFF
xqd20870464,COLLECTION_PAIDOFF
xqd20160465,COLLECTION_PAIDOFF
xqd20169466,COLLECTION_PAIDOFF
xqd20160467,COLLECTION_PAIDOFF
xqd20160468,COLLECTION_PAIDOFF
xqd20160469,COLLECTION_PAIDOFF
xqd25660470,COLLECTION_PAIDOFF
xqd20160471,COLLECTION_PAIDOFF
xqd20160472,COLLECTION_PAIDOFF
xqd20160473,COLLECTION_PAIDOFF
xqd20160474,COLLECTION_PAIDOFF
xqd20160475,COLLECTION_PAIDOFF
xqd20160476,COLLECTION_PAIDOFF
xqd20160477,COLLECTION_PAIDOFF
xqd20160478,COLLECTION_PAIDOFF
xqd20160479,COLLECTION_PAIDOFF
xqd20160480,COLLECTION_PAIDOFF
xqd20160481,COLLECTION_PAIDOFF
xqd20160482,COLLECTION_PAIDOFF
xqd20160483,COLLECTION_PAIDOFF
xqd20160484,COLLECTION_PAIDOFF
xqd20160485,COLLECTION_PAIDOFF
xqd20160486,COLLECTION_PAIDOFF
xqd20160487,COLLECTION_PAIDOFF
xqd20160488,COLLECTION_PAIDOFF
xqd20160489,COLLECTION_PAIDOFF
xqd20160490,COLLECTION_PAIDOFF
xqd20160491,COLLECTION_PAIDOFF
xqd20160492,COLLECTION_PAIDOFF
xqd20160493,COLLECTION_PAIDOFF
xqd20160494,COLLECTION_PAIDOFF
xqd20160495,COLLECTION_PAIDOFF
xqd20160496,COLLECTION_PAIDOFF
xqd20160497,COLLECTION_PAIDOFF
xqd20160498,COLLECTION_PAIDOFF
xqd20160499,COLLECTION_PAIDOFF
xqd20160500,COLLECTION_PAIDOFF